Date,Open,High,Low,Close,Adj Close,Volume
2017-08-16,0.720000,0.730000,0.720000,0.720000,0.720000,48000
2017-08-17,0.730000,0.730000,0.720000,0.720000,0.720000,43100
2017-08-18,0.740000,0.740000,0.710000,0.720000,0.720000,91000
2017-08-21,0.720000,0.750000,0.710000,0.740000,0.740000,37400
2017-08-22,0.740000,0.740000,0.720000,0.720000,0.720000,52800
2017-08-23,0.740000,0.740000,0.720000,0.720000,0.720000,11400
2017-08-24,0.730000,0.730000,0.710000,0.720000,0.720000,48700
2017-08-25,0.710000,0.720000,0.710000,0.720000,0.720000,27900
2017-08-28,0.730000,0.770000,0.720000,0.770000,0.770000,137300
2017-08-29,0.780000,0.800000,0.760000,0.760000,0.760000,150000
2017-08-30,0.770000,0.780000,0.760000,0.780000,0.780000,108100
2017-08-31,0.760000,0.790000,0.760000,0.770000,0.770000,127800
2017-09-01,0.780000,0.790000,0.760000,0.760000,0.760000,169800
2017-09-05,0.770000,0.770000,0.750000,0.750000,0.750000,56700
2017-09-06,0.750000,0.770000,0.730000,0.730000,0.730000,97300
2017-09-07,0.740000,0.760000,0.740000,0.760000,0.760000,51500
2017-09-08,0.760000,0.760000,0.720000,0.750000,0.750000,77900
2017-09-11,0.750000,0.750000,0.720000,0.720000,0.720000,77400
2017-09-12,0.720000,0.730000,0.710000,0.720000,0.720000,81200
2017-09-13,0.740000,0.740000,0.710000,0.710000,0.710000,105100
2017-09-14,0.710000,0.730000,0.710000,0.710000,0.710000,44500
2017-09-15,0.730000,0.730000,0.700000,0.700000,0.700000,52200
2017-09-18,0.710000,0.710000,0.700000,0.700000,0.700000,51300
2017-09-19,0.700000,0.720000,0.700000,0.710000,0.710000,42700
2017-09-20,0.720000,0.730000,0.700000,0.720000,0.720000,230000
2017-09-21,0.700000,0.710000,0.700000,0.700000,0.700000,61700
2017-09-22,0.700000,0.710000,0.700000,0.710000,0.710000,71800
2017-09-25,0.710000,0.710000,0.680000,0.680000,0.680000,81100
2017-09-26,0.700000,0.700000,0.680000,0.680000,0.680000,17900
2017-09-27,0.690000,0.690000,0.650000,0.650000,0.650000,190900
2017-09-28,0.660000,0.670000,0.650000,0.650000,0.650000,24000
2017-09-29,0.680000,0.680000,0.650000,0.650000,0.650000,42600
2017-10-02,0.650000,0.700000,0.650000,0.690000,0.690000,79900
2017-10-03,0.690000,0.690000,0.650000,0.660000,0.660000,147900
2017-10-04,0.670000,0.670000,0.650000,0.670000,0.670000,110700
2017-10-05,0.660000,0.670000,0.660000,0.670000,0.670000,36200
2017-10-06,0.670000,0.680000,0.660000,0.670000,0.670000,57700
2017-10-10,0.660000,0.690000,0.660000,0.680000,0.680000,79800
2017-10-11,0.680000,0.680000,0.680000,0.680000,0.680000,10100
2017-10-12,0.710000,0.720000,0.700000,0.710000,0.710000,71600
2017-10-13,0.700000,0.720000,0.700000,0.720000,0.720000,50900
2017-10-16,0.720000,0.730000,0.710000,0.720000,0.720000,230900
2017-10-17,0.710000,0.730000,0.710000,0.730000,0.730000,39400
2017-10-18,0.730000,0.730000,0.720000,0.720000,0.720000,33200
2017-10-19,0.710000,0.730000,0.710000,0.730000,0.730000,89900
2017-10-20,0.730000,0.740000,0.720000,0.730000,0.730000,127000
2017-10-23,0.730000,0.730000,0.730000,0.730000,0.730000,29100
2017-10-24,0.710000,0.730000,0.710000,0.730000,0.730000,60000
2017-10-25,0.730000,0.740000,0.720000,0.740000,0.740000,59100
2017-10-26,0.740000,0.780000,0.730000,0.740000,0.740000,227800
2017-10-27,0.740000,0.760000,0.740000,0.740000,0.740000,20600
2017-10-30,0.770000,0.770000,0.740000,0.750000,0.750000,120900
2017-10-31,0.750000,0.780000,0.750000,0.780000,0.780000,51900
2017-11-01,0.780000,0.790000,0.760000,0.790000,0.790000,89400
2017-11-02,0.770000,0.790000,0.760000,0.790000,0.790000,68600
2017-11-03,0.780000,0.780000,0.730000,0.730000,0.730000,117000
2017-11-06,0.730000,0.740000,0.730000,0.740000,0.740000,34700
2017-11-07,0.740000,0.760000,0.730000,0.750000,0.750000,81000
2017-11-08,0.780000,0.780000,0.750000,0.750000,0.750000,71600
2017-11-09,0.770000,0.770000,0.750000,0.760000,0.760000,54900
2017-11-10,0.760000,0.770000,0.750000,0.750000,0.750000,105500
2017-11-13,0.750000,0.770000,0.750000,0.760000,0.760000,65600
2017-11-14,0.740000,0.760000,0.710000,0.710000,0.710000,60700
2017-11-15,0.720000,0.740000,0.690000,0.700000,0.700000,88300
2017-11-16,0.700000,0.700000,0.690000,0.700000,0.700000,11500
2017-11-17,0.690000,0.700000,0.670000,0.700000,0.700000,61100
2017-11-20,0.690000,0.690000,0.670000,0.680000,0.680000,60300
2017-11-21,0.700000,0.720000,0.700000,0.710000,0.710000,50500
2017-11-22,0.710000,0.720000,0.660000,0.710000,0.710000,149500
2017-11-23,0.700000,0.710000,0.680000,0.690000,0.690000,38600
2017-11-24,0.690000,0.710000,0.690000,0.690000,0.690000,15500
2017-11-27,0.690000,0.710000,0.660000,0.680000,0.680000,113700
2017-11-28,0.660000,0.690000,0.660000,0.660000,0.660000,56400
2017-11-29,0.660000,0.670000,0.650000,0.660000,0.660000,92100
2017-11-30,0.650000,0.660000,0.650000,0.650000,0.650000,74200
2017-12-01,0.670000,0.670000,0.550000,0.610000,0.610000,825500
2017-12-04,0.580000,0.590000,0.570000,0.570000,0.570000,216000
2017-12-05,0.570000,0.590000,0.570000,0.570000,0.570000,154600
2017-12-06,0.560000,0.590000,0.560000,0.570000,0.570000,165300
2017-12-07,0.560000,0.590000,0.560000,0.590000,0.590000,139100
2017-12-08,0.570000,0.580000,0.570000,0.570000,0.570000,56100
2017-12-11,0.570000,0.590000,0.560000,0.590000,0.590000,173600
2017-12-12,0.590000,0.630000,0.580000,0.620000,0.620000,204800
2017-12-13,0.600000,0.640000,0.600000,0.620000,0.620000,158800
2017-12-14,0.620000,0.620000,0.600000,0.600000,0.600000,123200
2017-12-15,0.620000,0.620000,0.590000,0.590000,0.590000,101400
2017-12-18,0.620000,0.620000,0.600000,0.620000,0.620000,107300
2017-12-19,0.610000,0.640000,0.590000,0.630000,0.630000,226400
2017-12-20,0.630000,0.630000,0.600000,0.620000,0.620000,142200
2017-12-21,0.620000,0.620000,0.600000,0.600000,0.600000,92300
2017-12-22,0.590000,0.610000,0.580000,0.590000,0.590000,328000
2017-12-27,0.590000,0.590000,0.570000,0.570000,0.570000,341000
2017-12-28,0.580000,0.610000,0.580000,0.600000,0.600000,118300
2017-12-29,0.600000,0.600000,0.580000,0.590000,0.590000,84900
2018-01-02,0.600000,0.610000,0.580000,0.600000,0.600000,81400
2018-01-03,0.610000,0.610000,0.590000,0.590000,0.590000,139500
2018-01-04,0.600000,0.600000,0.580000,0.590000,0.590000,141800
2018-01-05,0.580000,0.590000,0.560000,0.580000,0.580000,139000
2018-01-08,0.560000,0.580000,0.550000,0.580000,0.580000,181400
2018-01-09,0.560000,0.580000,0.560000,0.580000,0.580000,87200
2018-01-10,0.550000,0.580000,0.550000,0.580000,0.580000,150200
2018-01-11,0.590000,0.630000,0.590000,0.630000,0.630000,268700
2018-01-12,0.630000,0.700000,0.620000,0.680000,0.680000,436300
2018-01-15,0.740000,0.780000,0.720000,0.760000,0.760000,531600
2018-01-16,0.770000,0.890000,0.770000,0.880000,0.880000,1306300
2018-01-17,0.900000,0.970000,0.850000,0.860000,0.860000,1223500
2018-01-18,0.860000,0.880000,0.810000,0.830000,0.830000,566000
2018-01-19,0.860000,0.860000,0.820000,0.830000,0.830000,195800
2018-01-22,0.870000,0.940000,0.870000,0.900000,0.900000,822400
2018-01-23,0.940000,0.940000,0.880000,0.900000,0.900000,353900
2018-01-24,0.930000,0.970000,0.930000,0.930000,0.930000,415600
2018-01-25,0.960000,1.000000,0.940000,0.990000,0.990000,1026300
2018-01-26,1.030000,1.040000,0.960000,0.980000,0.980000,1001300
2018-01-29,1.000000,1.080000,0.990000,1.050000,1.050000,1277900
2018-01-30,1.040000,1.070000,0.970000,0.980000,0.980000,551600
2018-01-31,0.970000,1.000000,0.920000,0.960000,0.960000,483700
2018-02-01,0.970000,0.990000,0.910000,0.990000,0.990000,285200
2018-02-02,0.940000,0.970000,0.930000,0.960000,0.960000,156700
2018-02-05,0.990000,1.030000,0.970000,1.020000,1.020000,557100
2018-02-06,1.030000,1.040000,0.960000,0.970000,0.970000,468000
2018-02-07,0.940000,0.980000,0.940000,0.950000,0.950000,166500
2018-02-08,0.980000,0.990000,0.950000,0.980000,0.980000,99500
2018-02-09,0.970000,0.970000,0.900000,0.900000,0.900000,253700
2018-02-12,0.930000,1.010000,0.930000,0.980000,0.980000,396900
